equation,term,current_estimate,std_error,baseline_estimate,baseline_equation_name,abs_change,pct_change,sign_change
PcpiRent,c4,76.8332563464088,310.7703656768324,15.677862872520883,Prent,61.15539347388792,390.0748078430832,FALSE
Lavh,c2,-19.169980950509306,3.7751324261445287,-16.728512905052213,Lavh,-2.4414680454570927,14.59465081752569,FALSE
Idwell,c5,0.18514925614956607,2.9439677817838596,-1.432297536871985,Idw,1.617446793021551,-112.92673144952244,TRUE
Rcash,c2,-2,,-3.6135232330500022,Rcash,1.6135232330500022,-44.65235530499424,FALSE
Rcash,log_sig_state,-4.200487267139477,0.17732761843286823,-5.76329519353847,Rcash,1.5628079263989934,-27.116569148690118,FALSE
Rcash,c3,1,,-0.4768631690336219,Rcash,1.476863169033622,-309.7037609397537,TRUE
Lhrs,c2,10.377239467674782,1.1084584851357284,9.315564981701288,Lhrs,1.0616744859734943,11.396780421358855,FALSE
Ytsf,c5,1.1919209377818063,0.8444402526386432,1.557748861479706,Ttsf,-0.3658279236978996,-23.484396794897965,FALSE
Idwell,c4,-0.4029186853774981,0.4219842711863654,-0.7219892545880088,Idw,0.3190705692105107,-44.193257334914634,FALSE
Rtwi,c4,-5.424109681751243,2.8196503562327058,-5.114201406165181,Rtwi,-0.3099082755860616,6.05975891392283,FALSE
Rcash,c4,-1,,-0.6956287067857632,Rcash,-0.30437129321423684,43.75484942543866,FALSE
PcpiRent,c8,0.699325769074669,0.0770571011325387,0.437211971635199,Prent,0.26211379743947005,59.95119403047193,FALSE
Toth,c3,-0.3490973180111435,1.2393804384365492,-0.12184488480540612,Toth,-0.2272524332057374,186.50962128502456,FALSE
Rcash,c1,0.3,,0.07860412149313446,Rcash,0.22139587850686554,281.65937650763385,FALSE
Lavh,c1,453.0968683196116,0.7462020168721907,453.25278502511736,Lavh,-0.1559167055057742,-0.034399503027238154,FALSE
Lhrs,c5,1.1036773056052196,0.5318703455471121,1.2403727122254902,Lhrs,-0.13669540662027058,-11.020510631438363,FALSE
Ynli,rm,-0.3571614795935855,0.12378935475092631,-0.4891520750108713,Ynli,0.1319905954172858,-26.983550139157096,FALSE
Rtwi,c5,-0.07360348335562511,0.0799710047084646,0.05552906170434034,Rtwi,-0.12913254505996546,-232.54948147245935,TRUE
Inonmin,c11,-0.612361108818172,0.4776956447560217,-0.484280524927635,Inonmin,-0.12808058389053695,26.44760160646058,FALSE
Xsvc,c1,-0.8857778688542031,0.3505387198018968,-0.7603169122870411,Xsvc,-0.12546095656716194,16.501139793112607,FALSE
PcpiRent,c1,-0.00569191690111753,0.01102756484840992,-0.1257038492850732,Prent,0.12001193238395566,-95.47196292437368,FALSE
Mtot,c6,-21.368869109707717,4.7420781459153245,-21.47983105845444,Mtot,0.1109619487467235,-0.5165866921613804,FALSE
Xsvc,c6,1.3874925285631052,0.44523236264708743,1.498175810204358,Xsvc,-0.11068328164125285,-7.387870027493982,FALSE
LempNonmkt,c1,-2.0109479340556797,0.22668733301689653,-2.110494160208136,LempNM,0.09954622615245645,-4.716725970122527,FALSE
Pimin,c3,0.4213877720244596,0.6169171387063523,0.5192151690670539,Pimin,-0.0978273970425943,-18.841398108297646,FALSE
Ytsf,c4,-1.213612738528582,0.8942493164108692,-1.309860596173576,Ttsf,0.0962478576449941,-7.34794663845586,FALSE
Xsvc,c4,0.6405864827866339,0.16435083675378978,0.7359786509829256,Xsvc,-0.0953921681962917,-12.961268383110314,FALSE
Rtwi,c3,-0.49043590419174427,0.08085348212188732,-0.582304727568747,Rtwi,0.0918688233770027,-15.776760693765212,FALSE
Rtwi,c1,-0.4639874324701686,0.150238521206586,-0.5500972754001243,Rtwi,0.08610984292995572,-15.653566520089013,FALSE
R10y,d_rat,0.007017562960661929,0.016450380039738068,0.09223098264165712,R10y,-0.08521341968099519,-92.39131714781018,FALSE
Rtwi,c7,-0.47622896569670115,0.8144619352141267,-0.5532362916243508,Rtwi,0.0770073259276497,-13.919427755100688,FALSE
Lhrs,c1,0.2520028288870202,0.04697734033266695,0.32813193133267576,Lhrs,-0.07612910244565557,-23.200760174867675,FALSE
Lhrs,c7,0.060153732390984496,0.3158164587168922,0.13525023325130522,Lhrs,-0.07509650086032073,-55.52411929729224,FALSE
Ytsf,c1,-0.6759026086107308,0.12244609848098909,-0.744463096310633,Ttsf,0.0685604876999022,-9.209387011884173,FALSE
Phouse,c4,0.07155865587320244,0.7258008416920457,0.1392501349980637,Phouse,-0.06769147912486127,-48.61142800745043,FALSE
PconsExrent,c1,-0.20176707954625905,0.04785482075291784,-0.26756490006597117,Pcnh,0.06579782051971211,-24.591349800922657,FALSE
Ynli,pe3,0.17554046700151543,0.20775678791068036,0.24118127415177845,Ynli,-0.06564080715026302,-27.21637796347092,FALSE
Tprl,c1,-0.7227681712611002,0.13041118888779116,-0.7832015880256011,Tprl,0.06043341676450098,-7.716202021097729,FALSE
PcpiRent,c7,0.15353573422774588,0.04675912249652415,0.09449313898677636,Prent,0.059042595240969525,62.483473270193834,FALSE
Lavh,rho,0.6412558218907644,0.06269809557171442,0.6943120046999621,Lavh,-0.05305618280919777,-7.641547668778292,FALSE
Tgst,c1,-0.11970719767624553,0.1148051988654087,-0.17087672802314866,Tgst,0.05116953034690312,-29.945289179443556,FALSE
PcpiRent,c2,-9.92777004600596e-4,0.004742599258206856,-0.05183013681764033,Prent,0.05083735981303973,-98.08455646549112,FALSE
GovDebt,x,0.12705732520170765,0.08372266038259939,0.17055305328853326,Wgov,-0.043495728086825614,-25.50275544656576,FALSE
Ynli,l_r,0.7533144311062087,0.06416695472752888,0.7106663900294213,Ynli,0.042648041076787324,6.001133819628324,FALSE
Xmin,c4,2.550969885693965,1.0223851589775386,2.5093129894662214,Xmin,0.04165689622774371,1.6600916825686651,FALSE
Pidwell,c3,0.6753316729076759,0.1385759254536316,0.6339410184810554,Pidw,0.04139065442662049,6.529101796535253,FALSE
Inonmin,c1,-0.46376505463773215,0.22115755647546012,-0.4225643040299693,Inonmin,-0.04120075060776285,9.750172983101946,FALSE
Piret,c1,-1.5200073182495322,0.028558465854789217,-1.5611583882916895,Piret,0.041151070042157345,-2.6359317767358115,FALSE
Phouse,c5,1.0198741196008447,0.43750924575370886,1.0579163167103474,Phouse,-0.03804219710950263,-3.595955229029557,FALSE
Tprl,c4,-1.2598168861397017,0.35570922033025976,-1.297362418147188,Tprl,0.037545532007486226,-2.893989488388793,FALSE
Lwge,c5,-0.9406538579592597,0.2565455986539108,-0.9775400245929946,Lwge,0.036886166633734896,-3.773366379457732,FALSE
Xmin,c9,0.7503797713066256,0.794817427217113,0.7138595382186931,Xmin,0.03652023308793251,5.1158850071629125,FALSE
Lhrs,c6,-0.8535158800456208,0.33452591817494776,-0.8176823485266187,Lhrs,-0.03583353151900215,4.382329101706861,FALSE
Rcash,log_sig_obs,-4.851993154284828,0.08222622099749716,-4.816833719568889,Rcash,-0.035159434715938964,0.7299283463554129,FALSE
Pxoth,c3,0.44288439332473967,0.1426401594915089,0.476209744846854,Pxoth,-0.033325351522114355,-6.99804064967876,FALSE
Lwge,c4,0.6907643418526903,0.2384813954934807,0.7234933059962501,Lwge,-0.03272896414355975,-4.523741114438096,FALSE
Ynli,pe,-0.057996523966361783,0.20952732288670592,-0.02772520051510503,Ynli,-0.030271323451256753,109.18342478628627,FALSE
Ynli,pe2,-0.420391624106451,0.3367791521670363,-0.4500426662680632,Ynli,0.02965104216161224,-6.588495799185157,FALSE
