"code","description","class","row"
"NSWGSPch",NA,"Basestat",590
"NSWNOMlev","Nominal gross state product","Basestat",591
"NSWNOMch",NA,"Basestat",592
"NSWGSPshare","Share of real GDP","Basestat",593
"NSWPOPlev","Total population","Basestat",594
"NSWPOPch",NA,"Basestat",595
"NSWPOPshare",NA,NA,596
"NSWCIVlev","Civilian population > 15","Basestat",597
"NSWCIVch",NA,"Basestat",598
"NSWEMPlev","Employment","Basestat",599
"NSWEMPch",NA,"Basestat",600
"NSWUNElev","Unemployment","Basestat",601
"NSWUNEch",NA,"Basestat",602
"NSWURTlev","Unemployment rate","Basestat",603
"NSWURTch",NA,"Basestat",604
"VICGSPlev","Gross state product","Basestat",605
"VICGSPch",NA,"Basestat",606
"VICNOMlev","Nominal gross state product","Basestat",607
"VICNOMch",NA,"Basestat",608
"VICGSPshare","Share of real GDP","Basestat",609
"VICPOPlev","Total population","Basestat",610
"VICPOPch",NA,"Basestat",611
"VICPOPshare",NA,NA,612
"VICCIVlev","Civilian population > 15","Basestat",613
"VICCIVch",NA,"Basestat",614
"VICEMPlev","Employment","Basestat",615
"VICEMPch",NA,"Basestat",616
"VICUNElev","Unemployment","Basestat",617
"VICUNEch",NA,"Basestat",618
"VICURTlev","Unemployment rate","Basestat",619
"VICURTch",NA,"Basestat",620
"QLDGSPlev","Gross state product","Basestat",621
"QLDGSPch",NA,"Basestat",622
"QLDNOMlev","Nominal gross state product","Basestat",623
"QLDNOMch",NA,"Basestat",624
"QLDGSPshare","Share of real GDP","Basestat",625
"QLDPOPlev","Total population","Basestat",626
"QLDPOPch",NA,"Basestat",627
"QLDPOPshare",NA,NA,628
"QLDCIVlev","Civilian population > 15","Basestat",629
"QLDCIVch",NA,"Basestat",630
"QLDEMPlev","Employment","Basestat",631
"QLDEMPch",NA,"Basestat",632
"QLDUNElev","Unemployment","Basestat",633
"QLDUNEch",NA,"Basestat",634
"QLDURTlev","Unemployment rate","Basestat",635
"QLDURTch",NA,"Basestat",636
"SAGSPlev","Gross state product","Basestat",637
"SAGSPch",NA,"Basestat",638
"SANOMlev","Nominal gross state product","Basestat",639
"SANOMch",NA,"Basestat",640
"SAGSPshare","Share of real GDP","Basestat",641
"SAPOPlev","Total population","Basestat",642
"SAPOPch",NA,"Basestat",643
"SAPOPshare",NA,NA,644
"SACIVlev","Civilian population > 15","Basestat",645
"SACIVch",NA,"Basestat",646
"SAEMPlev","Employment","Basestat",647
"SAEMPch",NA,"Basestat",648
"SAUNElev","Unemployment","Basestat",649
"SAUNEch",NA,"Basestat",650
"SAURTlev","Unemployment rate","Basestat",651
"SAURTch",NA,"Basestat",652
"WAGSPlev","Gross state product","Basestat",653
"WAGSPch",NA,"Basestat",654
"WANOMlev","Nominal gross state product","Basestat",655
"WANOMch",NA,"Basestat",656
"WAGSPshare","Share of real GDP","Basestat",657
"WAPOPlev","Total population","Basestat",658
"WAPOPch",NA,"Basestat",659
"WAPOPshare",NA,NA,660
"WACIVlev","Civilian population > 15","Basestat",661
"WACIVch",NA,"Basestat",662
"WAEMPlev","Employment","Basestat",663
"WAEMPch",NA,"Basestat",664
"WAUNElev","Unemployment","Basestat",665
"WAUNEch",NA,"Basestat",666
"WAURTlev","Unemployment rate","Basestat",667
"WAURTch",NA,"Basestat",668
"TASGSPlev","Gross state product","Basestat",669
"TASGSPch",NA,"Basestat",670
"TASNOMlev","Nominal gross state product","Basestat",671
"TASNOMch",NA,"Basestat",672
"TASGSPshare","Share of real GDP","Basestat",673
"TASPOPlev","Total population","Basestat",674
"TASPOPch",NA,"Basestat",675
"TASPOPshare",NA,NA,676
"TASCIVlev","Civilian population > 15","Basestat",677
"TASCIVch",NA,"Basestat",678
"TASEMPlev","Employment","Basestat",679
"TASEMPch",NA,"Basestat",680
"TASUNElev","Unemployment","Basestat",681
"TASUNEch",NA,"Basestat",682
"TASURTlev","Unemployment rate","Basestat",683
"TASURTch","534.86659807589183","Basestat",684
"NTGSPlev","Gross state product","Basestat",685
"NTGSPch",NA,"Basestat",686
"NTNOMlev","Nominal gross state product","Basestat",687
"NTNOMch",NA,"Basestat",688
"NTGSPshare","Share of real GDP","Basestat",689
"NTPOPlev","Total population","Basestat",690
"NTPOPch",NA,"Basestat",691
"NTPOPshare",NA,NA,692
"NTCIVlev","Civilian population > 15","Basestat",693
"NTCIVch",NA,"Basestat",694
"NTEMPlev","Employment","Basestat",695
"NTEMPch",NA,"Basestat",696
"NTUNElev","Unemployment","Basestat",697
"NTUNEch",NA,"Basestat",698
"NTURTlev","Unemployment rate","Basestat",699
"NTURTch",NA,"Basestat",700
"ACTGSPlev","Gross state product","Basestat",701
"ACTGSPch",NA,"Basestat",702
"ACTNOMlev","Nominal gross state product","Basestat",703
"ACTNOMch",NA,"Basestat",704
"ACTGSPshare","Share of real GDP","Basestat",705
"ACTPOPlev","Total population","Basestat",706
"ACTPOPch",NA,"Basestat",707
"ACTPOPshare",NA,NA,708
"ACTCIVlev","Civilian population > 15","Basestat",709
"ACTCIVch",NA,"Basestat",710
"ACTEMPlev","Employment","Basestat",711
"ACTEMPch",NA,"Basestat",712
"ACTUNElev","Unemployment","Basestat",713
"ACTUNEch",NA,"Basestat",714
"ACTURTlev","Unemployment rate","Basestat",715
"ACTURTch",NA,"Basestat",716
"Misc.",NA,NA,717
"TRBASE","Quantity (transfer share times recipients)","endos",718
"TRBAS1","Adjusted quantity (transfer share times recipients)","endos",719
"YSR","Equilibrium level of primary factors","endos",720
"TFx","Time trend held fixed in forecast period","exos",721
"TV","Time trend","exos",722
"SOI","Southern oscillation index","exos",723
"Housing_ratio",NA,NA,724
"Trend",NA,"endos",725
"Cum_difference",NA,"endos",726
"Z_EX","Residual - Supply of exports","exos",727
"Z_PEXC","Residual - Price of commodity exports","exos",728
"Z_PEXO","Residual - Price of non comm. gds and svcs exports","exos",729
"Z_IM","Residual - Imports - total","exos",730
"Z_CON","Residual - Private consumption","exos",731
"Z_IH","Residual - Dwelling investment","exos",732
"Z_IBFT","Residual - Total business investment","exos",733
"Z_IINF","Residual - Non farm inventory investment","exos",734
"Z_W","Residual - Average quarterly earnings (nom)","exos",735
"Z_PYD","Residual - Price of domestic production","exos",736
"Z_PCONH","Residual - Price of rental services","exos",737
"Z_M","Residual - Money supply (nom)","exos",738
"Z_NT","Residual - Total persons employed","exos",739
"Z_INFE","Residual - Expected domestic inflation rate","exos",740
"Z_RCS","Residual - 90 day bill rate","exos",741
"Z_RL","Residual - 10 year bond rate","exos",742
"Z_NA1","Residual - Private consumption","exos",743
"Z_NA2","Residual - General government consumption","exos",744
"Z_NA3","Residual - Private dwelling investment","exos",745
"Z_NA4","Residual - Private business investment","exos",746
"Z_NA5","Residual - Real estate transfer expenses","exos",747
"Z_NA6","Residual - Public enterprise investment","exos",748
"Z_NA7","Residual - General government investment","exos",749
"Z_NA8","Residual - Private non-farm inventory investment","exos",750
"Z_NA9","Residual - Farm and pub. auth. inventory inv.","exos",751
"Z_NA10","Residual - Statistical discrepancy","exos",752
"Z_NA12","Residual - Exports of goods and services","exos",753
"Z_NA13","Residual - Imports of goods and services","exos",754
"Z_NA16","Residual - GDP (nom)","exos",755
"Z_PCPIT","Residual - Consumer price index","exos",756
"Z_ETWIT","Residual - Real trade weighted index exchange rate","exos",757
"Z_TRB","Residual - Net unrequited transfers (ratio to GDP)","exos",758
"Z_NIB","Residual - Net income balance (ratio to GDP)","exos",759
"Z_FDEBT","Residual - Foreign debt (nom)","exos",760
"Z_FOEQ","Residual - Foreign equities (nom)","exos",761
"Z_EXRU","Residual - Exports - rural","exos",762
"Z_EXSV","Residual - Exports - services","exos",763
"Z_IHCM","Residual - Housing commencements","exos",764
"Z_IMSV","Residual - Imports  - services","exos",765
"Z_PTU","Residual - Treasury underlying price index","exos",766
"Z_RRT","Residual - Retail turnover","exos",767
"OutResLabPteRte","Residual - Part time emp (ratio to total emp)","exos",768
"OutResExrNzl","Residual - $NZ/$A exchange rate","exos",769
"OutResExpSvcTou","Residual - short term overseas arrivals","exos",770
"OutResTaxCon","Residual - Consumption tax","exos",771
"OutResTaxCpy","Residual - Company tax","exos",772
"OutResTaxImp","Residual - Import duty","exos",773
"OutResTaxInc","Residual - Labour income tax","exos",774
"OutResTaxLsm","Residual - Lump sum tax","exos",775
"OutResTaxPay","Residual - Payroll tax","exos",776
"OutResTaxRen","Residual - Rental services tax","exos",777
"OutResTsfFam","Residual - Family allowance","exos",778
"OutResTsfFpm","Residual - For. to priv. transfers - migrants","exos",779
"OutResTsfFpo","Residual - For. to priv. transfers - other","exos",780
"OutResTsfOth","Residual - Other personal benefits","exos",781
"OutResTsfPen","Residual - Aged and service pension","exos",782
"OutResTsfPuf","Residual - Pub. to for. sector transfers","exos",783
"OutResTsfUnb","Residual - Unemployment benefit","exos",784
"Z_SUPERAQE","Labour Cost adjustment for SGC","exos",785
"Z_SUPERAWE","Wage adjustment for SGC","exos",786
"Z_WAWE","Residual - Average weekly earnings (nom)","exos",787
"Z_WOTE","Residual - Ave weekly ordinary time earnings (nom)","exos",788
"Z_YHDZ","Residual - Household disposable income (nom)","exos",789
"CMV_Actual",NA,NA,790
"ABSDwellRt","ABS Dwelling Rent",NA,791
"OutPceMatHseCh","House building materials, change",NA,792
"OutPceMatHseCh4","House building materials, year to change",NA,793
"OutPceMatManCh","Materials used in manufacturing, change",NA,794
"OutPceMatManCh4","Materials used in manufacturing, year to change",NA,795
"OutNacIenUnd","Engineering construction",NA,796
"OutNacInbUnd","Non-residential building",NA,797
"OutNacIcoUndch","Private non-dwelling construction investment change",NA,798
"OutPceWpiCh","Wage Price Index change, change",NA,799
"OutPceWpiCh4","Wage Price Index year-to change",NA,800
"OutPceWpiOriCh","Wage Price Index - original change, change",NA,801
"OutPceWpiOriCh4","Wage Price Index original year-to change",NA,802
"OutPcePreDomCh","Preliminary stage domestic commodities, change",NA,803
"OutPcePreImpCh","Preliminary stage imported commodities, change",NA,804
"OutPcePreTotCh","Preliminary stage total commodities, change",NA,805
"NNEP","Labour Productivity",NA,806
"NNEPch","Labour Productivity, % change",NA,807
"NNEPch2","Labour Productivity, % year to change",NA,808
"NNE","Non-farm employment (pers. '000)",NA,809
"NNEch","Non-farm employment (pers. '000), % change",NA,810
"NFE","Farm employment (pers. '000)",NA,811
"NFEch","Farm employment (pers. '000), % change",NA,812
"Misery","Misery index (unemp. + inf. excl. GST effects)",NA,813
"PARTT64","Participation rate 15 - 64",NA,814
"PubBalGDP","Public sector underlying balance",NA,815
"NA8ch","Private non-farm inventory investment one period level change",NA,816
"NA9ch","Farm and pub. auth. inventory investment one period level change",NA,817
"AveTaxGDP","Average personal income taxes as a % of GDP",NA,818
"PUBDEMundch","Derived public final demand change",NA,819
"PARTTDes",NA,NA,820
"PUBTrans","Public sector transfers (% of GDP)",NA,821
"NRSHTrans","Public sector net revenue including transfers (% of GDP)",NA,822
"OutPubRvuGdpTrans","Public sector underlying net revenue including transfers (ratio to GDP)",NA,823
"TotPubSpendTrans","Public sector spending including transfers (% of GDP)",NA,824
"ABS Industries",NA,NA,825
"WTDLev","Output",NA,826
"WTDch","Change in output",NA,827
"WTDch4q","year to change in output",NA,828
"WTDEmp","Employment",NA,829
"WTDEmpch","Change in employment",NA,830
"RETLev","Output",NA,831
"RETch","Change in output",NA,832
"RETch4q","year to change in output",NA,833
"RETEmp","Employment",NA,834
"RETEmpch","Change in employment",NA,835
"ACCLev","Output",NA,836
"ACCch","Change in output",NA,837
"ACCch4q","year to change in output",NA,838
"ACCEmp","Employment",NA,839
"ACCEmpch","Change in employment",NA,840
"PROLev","Output",NA,841
"PROch","Change in output",NA,842
"PROch4q","year to change in output",NA,843
"PROEmp","Employment",NA,844
"PROEmpch","Change in employment",NA,845
"ADMLev","Output",NA,846
"ADMch","Change in output",NA,847
"ADMch4q","year to change in output",NA,848
"ADMEmp","Employment",NA,849
"ADMEmpch","Change in employment",NA,850
"ARTLev","Output",NA,851
"ARTch","Change in output",NA,852
"ARTch4q","year to change in output",NA,853
"ARTEmp","Employment",NA,854
"ARTEmpch","Change in employment",NA,855
"OTHLev","Output",NA,856
"OTHch","Change in output",NA,857
"OTHch4q","year to change in output",NA,858
"OTHEmp","Employment",NA,859
"OTHEmpch","Change in employment",NA,860
"NSWPOP15",NA,NA,861
"VICPOP15",NA,NA,862
"QLDPOP15",NA,NA,863
"SAPOP15",NA,NA,864
"WAPOP15",NA,NA,865
"TASPOP15",NA,NA,866
"NTPOP15",NA,NA,867
"ACTPOP15",NA,NA,868
"Population 15+ by State - Australia",NA,NA,869
