"code","description","class","row"
"SRPUB","Net public saving (ratio to consumption and saving)","endos",125
"STOT","National saving - gross (nom)","endos",126
"STOTD","National saving - net of depreciation (nom)","endos",127
"RSAV","Household saving (ratio to h'hold disposable inc.)","endos",128
"SPUBBL","SavPug balancing item","exos",129
"K","Total stock of business capital","endos",130
"KF","Private stock of business capital","endos",131
"KH","Stock of dwellings","endos",132
"KIF","Stock of farm inventories","endos",133
"KINF","Stock of private non farm inventories","endos",134
"KINFch4","Change in stock of private non farm inventories",NA,135
"RSS","Private non farm inventories (ratio to sales)","endos",136
"POL14O","Transfers - foreign to private - other (ratio to GDP)","exos",137
"RGGCD","Gen govt dep. Nac defn (ratio to model defn)","exos",138
"NA5","Real estate transfer expenses","endos",139
"NA5ch","Real estate transfer expenses quarterly change",NA,140
"IPMINElev","Industrial prod. - mining (index)","basegdpa",141
"IPMANUlev","Industrial prod. - manufact. (index)","basegdpa",142
"IPUTILlev","Industrial prod. - utilities (index)","basegdpa",143
"IPTOTlev","Industrial prod. - total (index)","basegdpa",144
"IPMINEch","Industrial prod. - mining % change","basegdpa",145
"IPMANUch","Industrial prod. - manufacturing % change","basegdpa",146
"IPUTILch","Industrial prod. - utilities % change","basegdpa",147
"IPTOTch","Industrial prod. - total % change","basegdpa",148
"IPMINEyrto","Industrial prod. - mining year to % change","basegdpa",149
"IPMANUyrto","Industrial prod. - manufacturing year to % change","basegdpa",150
"IPUTILyrto","Industrial prod. - utilities year to % change","basegdpa",151
"IPTOTyrto","Industrial prod. - total year to % change","basegdpa",152
"Indprod","Ind prodn","baseind",153
"Indprodch","Ind prodn ch","baseind",154
"WAWE","Average weekly earnings (nom)","endos",155
"WAWEch","Average weekly earnings 4 quarter to change",NA,156
"WAWEqch","Average weekly earnings quarterly change",NA,157
"WOTE","Ave. weekly ordinary time earnings (nom)","endos",158
"WOTEch","Ave. weekly ordinary time earnings (nom) 4 quarter to change",NA,159
"WOTEqch","Ave. weekly ordinary time earnings (nom) quarterly change",NA,160
"W","Average quarterly earnings (nom)","endos",161
"WA","Average quarterly earnings incl. payroll tax (nom)","endos",162
"WT","Average earnings (national account basis) change","endos",163
"WTch","Average earnings (national account basis) quarterly change",NA,164
"WT4ch","Average earnings (national account basis) 4 quarter to change",NA,165
"RealWTch4q","Real wage, 4 quarter to change",NA,166
"WNULC","Unit labour cost index (nom)","endos",167
"WNULCqch","Unit labour cost index quarterly change",NA,168
"WNULCch","Unit labour cost index 4 quarter to change",NA,169
"WRULC","Real unit labour cost index","endos",170
"WRULCch","Real unit labour cost index 4 qurater to change",NA,171
"YWZ","Wages salaries and supplements (nom)","endos",172
"RWASH","Wage share of GDP at factor cost","endos",173
"YHDZ","Household disposable income (nom)","endos",174
"YHDZch","Household disposable income change",NA,175
"YHDZch4","Household disposable income 4 quarter to change",NA,176
"RYHDZ","Real household disposable income",NA,177
"RYHDZCh","Real household disposable income % change",NA,178
"RYHDZCh4","Real household disposable income % year to change",NA,179
"UNB","Unemployment benefit recipients ('000)","endos",180
"PCPIT","Consumer price index (headline - original)","endos",181
"PCPITch","CPI change",NA,182
"PCPITch4",NA,NA,183
"PCPIO","Consumer price index ( headline - original)","endos",184
"PCPIOch",NA,NA,185
"PCPIOch4",NA,NA,186
"PCPIF","World consumer price index","endos",187
"PCPIFch","World inflation rate 4 quarter to",NA,188
"PEXC","Commodity exports","endos",189
"PEXNR","Non rural exports","endos",190
"PEXO","Non commodity gds and svcs exports","endos",191
"PEXRU","Rural exports","endos",192
"PEXSV","Service exports","endos",193
"PIMGD","Goods imports","endos",194
"PIMSV","Service imports","endos",195
"PKLR","Ideal price index - capital","endos",196
"PIM","Imports","endos",197
"PIMch","Quarterly change in import price","endos",198
"PM","Imports including import duty","endos",199
"OutPceMatHse","House building materials","endos",200
"OutPceMatMan","Materials used in manufacturing","endos",201
"PX","Exports","endos",202
"PXch","Quarterly change in export price","endos",203
"PYD","Domestic production","endos",204
"PYDMR","Equilibrium price index - domestic production","endos",205
"PYLR","Ideal price index - domestic factors","endos",206
"PYSR","Equilibrium price index - domestic factors","endos",207
"PTLR","Ideal price index - gross output","endos",208
"PTSR","Equilibrium price index - gross output","endos",209
"PCONH","Price index - rental services","endos",210
"PCONHD","Equilibrium price index - rental services","endos",211
"PTU","Price index - underlying private sector prices","endos",212
"PTUqch","Underlying private sector prices quarterly change",NA,213
"PTUch","Underlying private sector prices 4 quarter to change",NA,214
"OutPcePreDom","Preliminary stage domestic commodities","endos",215
"OutPcePreImp","Preliminary stage imported commodities","endos",216
"OutPcePreTot","Preliminary stage total commodities","endos",217
"OutPceWpi","Wage Price Index","endos",218
"OutPceWpiOri","Wage Price Index (Original)","endos",219
"OutPceCar","New motor vehicles","endos",220
"PEXCF","Foreign price of commodity exports","exos",221
"PEXOF","Foreign price of non comm gds and svcs exports","exos",222
"PIMF","Foreign price of imports","exos",223
"INFE","Expected domestic inflation rate","endos",224
"INFEF","Expected foreign inflation rate","endos",225
"OutExoPceGst","GST price effect (first round impact)","exos",226
"OutExoPceGstch4","GST price effect (first round impact) 4 quarter to change",NA,227
"PTUExclGST","Underlying inflation excluding GST 4 quarter to change",NA,228
"PCPITExclGST",NA,NA,229
"OutExoPceGstch","GST price effect (first round impact) 4 quarter to change",NA,230
"PTUExclGSTch","Underlying inflation excluding GST quarter change",NA,231
"PCPITGSTadj","GST-adjusted headline CPI",NA,232
"RBAT","Reserve Bank of Australia target inflation rate","exos",233
"OutExoPceOil","Price of Tapis crude oil  ($US/barrel)","exos",234
"OutExoPceOilCh","Price of Tapis crude oil  ($US/barrel) change",NA,235
"Petrol","Price at pump (Cents/litre)","MVRegos",236
"PetrolCh","Price at pump (Cents/litre) change",NA,237
"WPTPERH","Post-tax average wages per worker",NA,238
"RWPTPERH","Real post-tax average wages per worker",NA,239
"PNATSPDEF","Gross national spending deflator",NA,240
"PNATSPDEFch","Gross national spending deflator (%ch)",NA,241
"ETWIT","Trade weighted index exchange rate","endos",242
"EUSAT","$US/$A exchange rate","endos",243
"EJA","Japanese Yen/$A exchange rate","endos",244
"EWG","Euro/$A exchange rate","endos",245
"EUK","UK Pound/$A exchange rate","endos",246
"OutExrNzl","$NZ/$A exchange rate","endos",247
"ESW","Swiss Franc/$A exchange rate","endos",248
"EJAUS","Japanese Yen/$US exchange rate","exos",249
"EWGUS","Euro/$US exchange rate","exos",250
"EUKUS","UK Pound/$US exchange rate","exos",251
"REUS","$US/$A (ratio to TWI exchange rate)","exos",252
"E","Exchange rate for trade conversion","endos",253
"ED","Exchange rate for debt conversion","endos",254
"RCS","90 day bill rate","endos",255
"RL","10 year bond rate","endos",256
"RCSF","90 day bill rate - foreign","exos",257
"RLF","10 year bond rate - foreign","exos",258
"RLFIndex","10 year indexed bonds",NA,259
"RCSG","Real 90 day rate differential (domestic - foreign)","endos",260
"RI","Real 10 year bond rate","endos",261
"RI4",NA,NA,262
"RLG","Real 10 year rate differential (domestic - foreign)","endos",263
"YCURVE","Yield curve (90 day bill rate - 10 year bond rate)","endos",264
"RCSUS","90 day bill rate - USA","exos",265
"RCSJA","90 day bill rate - Japan","exos",266
"RCSWG","Official short rate - Europe","exos",267
"RCSUK","90 day bill rate - UK","exos",268
"RLUS","10 year bond rate - USA","exos",269
"RLJA","10 year bond rate - Japan","exos",270
"RLWG","10 year bond rate - Germany","exos",271
"RLUK","10 year bond rate - UK","exos",272
"USCURVE",NA,NA,273
"JPCURVE",NA,NA,274
"WGCURVE",NA,NA,275
"UKCURVE",NA,NA,276
"AVCURVE",NA,NA,277
"RealRCS",NA,NA,278
"AusUSspread","Basis points",NA,279
"TGSBQ","Balance of trade - volume (ratio to GDP)","endos",280
"TOT","Terms of trade index","endos",281
"TGSB","Balance of trade - value (ratio to GDP)","endos",282
"TGSBNom","Balance of trade (nom $m)",NA,283
"TRB","Net unrequited transfers (ratio to GDP)","endos",284
"TRBNom","Net unrequited transfers (nom $m)",NA,285
"NIB","Net income balance (ratio to GDP)","endos",286
"NIBNom","Net income balance (nom $m)",NA,287
"OutBopCab","Current account balance (nom $b)","endos",288
"CURB","Current account balance (ratio to GDP)","endos",289
"CURBNom","Current account balance (nom $m)",NA,290
"FODEBT","Net foreign debt (nom - $b)","endos",291
"FODEBTRat","Net foreign debt (ratio to GDP)",NA,292
"OutIipDbtGdp","Net foreign debt (ratio to GDP)","endos",293
"OutIipEquGdp","Net foreign equities (ratio to GDP)","endos",294
"OutIipLiaGdp","Net foreign liabilities (ratio to GDP)","endos",295
"ZG","Public sector for. debt in for. currency (nom)","endos",296
"ZGA","Public sector foreign debt in $A (nom)","endos",297
"ZP","Private sector for. debt in for. currency (nom)","endos",298
"ZPA","Private sector foreign debt in $A (nom)","endos",299
"M","Money supply (private holdings of curr. - nom)","endos",300
"POL13","Money supply growth",NA,301
"ITLS","Indirect taxes less subsidies (nom)","endos",302
"BAL","Balancing item in the balance of payments (nom)","exos",303
"PUBD","Public sector underlying deficit (nom)","endos",304
"PUBDE","Stock of interest bearing public sector debt (nom)","endos",305
"PUBLI","Stock of public sector financial liabilities (nom)","endos",306
"PUDOS1","Pub. borrowing from for. sector, last qtr (nom)","endos",307
"TRPUPR","Transfers (public sector to private sector - nom)","endos",308
"PNETADV","Public sector net advances (nom)","exos",309
"DOS","Flow of foreign borrowing (nom)","endos",310
"FIF","Foreign business investment","endos",311
"FOEQ","Net foreign equities (nom - $b)","endos",312
"FOLI","Net foreign liabilities (nom - $b)","endos",313
"OutExoIipDbtAus","For. debt denom.in $A (ratio to total for. debt)","exos",314
"OutExoIipDbtJap","For. debt denom.in Yen (ratio to for. denom. debt)","exos",315
"OutExoIipDbtUsa","For. debt denom.in $US (ratio to for. denom. debt)","exos",316
"OutExoIipDbtEur","For. debt denom.in Eur (ratio to for. denom. debt)","exos",317
"OutExoIipDbtUkg","For. debt denom.in UK (ratio to for. denom. debt)","exos",318
"SIPROS","Expected capital gain - private foreign debt (nom)","endos",319
"SIPUOS","Expected capital gain - public foreign debt (nom)","endos",320
"SIPUPR","Expected capital gain - public domestic debt (nom)","endos",321
"EX","Supply of exports","endos",322
"EXC","Exports - commodities","endos",323
"EXCS","Supply of commodity exports","endos",324
"EXNR","Exports - non rural","endos",325
"EXNRZ","Exports - non rural (nom)","endos",326
"EXO","Exports - non commodity goods and services","endos",327
"EXRU","Exports - rural","endos",328
"EXRUZ","Exports - rural (nom)","endos",329
"OutExpSvcTou","Exports - short term tourist arrivals ('000)","endos",330
"EXSR","Supply of exports - equilibrium","endos",331
"EXSV","Exports - services","endos",332
"EXSVZ","Exports - services (nom)","endos",333
"IM","Imports - total","endos",334
"IMGD","Imports - goods","endos",335
"IMGDZ","Imports - goods (nom)","endos",336
"IMSR","Equilibrium imports","endos",337
"IMSV","Imports  - services","endos",338
"IMSVZ","Imports - services (nom)","endos",339
"NA12Z","Exports of goods and services (nom)","endos",340
"NA13Z","Imports of goods and services (nom)","endos",341
"RIMS","Imports - goods (ratio to sales)","endos",342
"PIM2",NA,NA,343
"PIM2ch",NA,NA,344
"PIM2ch4",NA,NA,345
"MerchTrdBal","Merchandise Trade Balance",NA,346
"NRSH","Public sector net revenue (ratio to GDP)","endos",347
"OutPubRvuGdp","Public sector underlying net revenue (ratio to GDP)","endos",348
"PSBRT","Net PSBR (ratio to GDP)","endos",349
"OutPubPsb","Net PSBR (nom)","endos",350
"OutPubDefGdp","Public sector underlying deficit (ratio to GDP)","endos",351
"RPUBDE","Public sector debt (target ratio to GDP)","exos",352
"PUDEBT","Stock of public sector debt (nom)","endos",353
"B","Stock of public debt held by private sector (nom)","endos",354
"GGCDZ","Gen govt depreciation (nom)","endos",355
"GGGF","General government stock of capital","endos",356
"PUBCont","Public sector contribution to growth (underlying)",NA,357
"GGCSH","Gen govt consumption (ratio to GDP)","endos",358
"GGCZ","Gen govt consumption (nom)","endos",359
"GGCO","Gen govt purchases of consumption gds","exos",360
"GGIFSH","Gen govt investment (ratio to GDP)","endos",361
"GEISH","Public enterprise investment (ratio to GDP)","endos",362
"GEIF","Public enterprise business investment","endos",363
"GEII","Public enterprise inventory investment","endos",364
"GEKF","Public enterprise stock of business capital","endos",365
"GEKI","Stock of public enterprise inventories","endos",366
"GGIF","Gen govt purchases of investment gds","exos",367
"TotPubSpend","Total Public Spending (% of GDP)",NA,368
"OutExoInvConTsf","Non-dwelling construction investment (transfer from public to private)","exos",369
"OutExoInvEquTsf","Equipment investment (transfer from public to private)","exos",370
"NGG","Gen govt employment ('000)","exos",371
"RGEIF","Pub ent business inv. underlying  (ratio to total inv.)","exos",372
"POL8","Aged and service pension (ratio to after tax wage)","exos",373
