"variable","documented","definition","source","source_category","clear_source"
"XmacNom",TRUE,"Nominal exports component, $m (identity input)","ABS 5206.0","official with identifier",TRUE
"XtrnNom",TRUE,"Nominal exports component, $m (identity input)","ABS 5206.0","official with identifier",TRUE
"XotmNom",TRUE,"Nominal exports component, $m (identity input)","ABS 5206.0","official with identifier",TRUE
"XonrNom",TRUE,"Nominal exports component, $m (identity input)","ABS 5206.0","official with identifier",TRUE
"XgprNom",TRUE,"Nominal exports component, $m (identity input)","ABS 5206.0","official with identifier",TRUE
"CconsRentNom",TRUE,"Nominal household consumption of rent, $m","ABS 5206.0","official with identifier",TRUE
"CconsRent",TRUE,"Real household consumption of rent, $m","ABS 5206.0","official with identifier",TRUE
"GovDef",TRUE,"Public-sector deficit, quarterly $bn, deficit positive","Derived from annual fiscal balance","internal derivation / calibration",FALSE
"GovDebt",TRUE,"Public-sector net debt, $bn","Public-sector fiscal data","internal derivation / calibration",FALSE
"Rbiz",TRUE,"Bank lending to business; weighted-average interest rate on credit outstanding; total (Per cent per annum)","RBA D8 (DBLWAT) to 2019Q3; RBA F7 weighted average thereafter","official with identifier",TRUE
"BizEq",TRUE,NA,NA,"other",FALSE
"TcorpRate",TRUE,"Statutory company income tax rate","ATO","official with identifier",TRUE
"KdepRate",TRUE,"Non-mining capital depreciation rate","Capital-stock calibration","internal derivation / calibration",FALSE
"DumTsfTot",TRUE,"Transfers equation COVID correction (EViews DUMMY_TSFTOT)","Scenario model residuals (Temp/Masterdata.xlsx sheet Master(SEM))","via Masterdata (internal workbook)",FALSE
"Peq",TRUE,NA,NA,"other",FALSE
"LavhMkt",TRUE,"Market-sector average hours actually worked per quarter, per employed person (hours)","ABS 6291.0.55.001 detailed labour force, market-sector aggregate, via Temp/Masterdata.xlsx sheet 'Master(SEM)' column AvHrsMar (built on sheet 'Average HW' from the industry hours and 'Employment - market'); this is the AVHRSMAR variable of the EViews SEM","via Masterdata (internal workbook)",FALSE
"Ustar",TRUE,"Non-accelerating-inflation rate of unemployment (NAIRU), per cent","Deloitte Access Economics SEM, via Temp/Masterdata.xlsx sheet 'Master(SEM)' column Ustar - this is the LUR_STAR variable of the EViews SEM","via Masterdata (internal workbook)",FALSE
"Tpit",TRUE,"Personal income tax","ABS 5206.0 (A2302733F + A2302779L)","official with identifier",TRUE
"IntStu",TRUE,"International student enrolments, new to Australia","Department of Education, International students.xlsx","official with identifier",TRUE
"PcpiExGst",TRUE,"CPI excluding GST effects","AEM PCPIUX via validated reference workbook","internal derivation / calibration",FALSE
"ShockGst",TRUE,"GST/other-tax COVID correction; zero outside the historical shock period","Scenario model correction series","internal derivation / calibration",FALSE
"KNbiz",TRUE,NA,NA,"other",FALSE
"KOther",TRUE,"Residual non-business, non-dwelling net capital stock (real)","ABS 5204.0, derived residual","official with identifier",TRUE
