equation,boundary_variable,residual,conditioning_date,persistence
Pcpi,PcpiBoundary,-0.001533347089089289,2025-09-01,0.9
PcpiRent,PcpiRentBoundary,-0.0027844014796276854,2025-09-01,0.9
Rcash,RcashBoundary,-0.0027211612837681684,2025-09-01,0.9
Lhrs,LhrsBoundary,0.008436455055379391,2025-09-01,0.9
