variable,in_estimation,in_forecast_equations,in_identities,exogenous_contract,in_data_preparation,usage
trend_piret,TRUE,FALSE,FALSE,FALSE,TRUE,estimation-only input
trend_98,TRUE,FALSE,FALSE,FALSE,TRUE,estimation-only input
trend_01,TRUE,FALSE,FALSE,FALSE,TRUE,estimation-only input
trend_08,TRUE,FALSE,FALSE,FALSE,TRUE,estimation-only input
d93,TRUE,FALSE,FALSE,FALSE,TRUE,estimation-only input
q3,TRUE,FALSE,FALSE,FALSE,TRUE,estimation-only input
dum_1975q3,TRUE,FALSE,FALSE,FALSE,TRUE,estimation-only input
dum_1976q4,TRUE,FALSE,FALSE,FALSE,TRUE,estimation-only input
dum_2009q1,TRUE,FALSE,FALSE,FALSE,TRUE,estimation-only input
dum_2020q1,TRUE,FALSE,FALSE,FALSE,TRUE,estimation-only input
dum_2020q2,TRUE,FALSE,FALSE,FALSE,TRUE,estimation-only input
dum_2020q3,TRUE,FALSE,FALSE,FALSE,TRUE,estimation-only input
dum_2020q4,TRUE,FALSE,FALSE,FALSE,TRUE,estimation-only input
dum_2021q1,TRUE,FALSE,FALSE,FALSE,TRUE,estimation-only input
dum_2000q3,TRUE,FALSE,FALSE,FALSE,TRUE,estimation-only input
dum_2000q4,TRUE,FALSE,FALSE,FALSE,TRUE,estimation-only input
dum_2012q4,TRUE,FALSE,FALSE,FALSE,TRUE,estimation-only input
dum_2022q1,FALSE,FALSE,FALSE,FALSE,TRUE,data-preparation input
dum_2022,TRUE,FALSE,FALSE,FALSE,TRUE,estimation-only input
dum_2023,TRUE,FALSE,FALSE,FALSE,TRUE,estimation-only input
sb_2001,TRUE,FALSE,FALSE,FALSE,TRUE,estimation-only input
dum_covid_cpr,TRUE,FALSE,FALSE,FALSE,TRUE,estimation-only input
dum_covid_avh,TRUE,FALSE,FALSE,FALSE,TRUE,estimation-only input
LparHpf,TRUE,TRUE,TRUE,FALSE,TRUE,behavioural equation variable
PpcdHpf,TRUE,TRUE,TRUE,FALSE,TRUE,behavioural equation variable
UlcDom,TRUE,TRUE,TRUE,FALSE,TRUE,behavioural equation variable
UlcExp,TRUE,TRUE,TRUE,FALSE,TRUE,behavioural equation variable
