date,Lpop,Cgov,Igov,Ipubent,IvtFar,Lnom,IntStu,Fpcpi,Fpoil,Fpcom,Fpagr,FcGdp,FcPpp,Fr10yUs,Fr10yJp,Fr10yDe,Fr10yUk,Lpop15Plus
2025-03-01,27499.25,156125.5975037247,27565.067021472623,11773.475277690157,0,76.25,258921.25,2.002083547818402,72.8314273592171,1.026873193035108,1.1816878478036543,135100737.56355068,3.3974844822145016,0.0429,0.0151,0.02609999999999999,0.0458,22660.055357384823
2025-06-01,27610.4,157739.71187030865,27850.050210690817,11895.196096660196,0,76.25,246475.5,2.014721654202731,71.09207663305381,1.0237034541596564,1.1759021731524306,136745373.27462646,3.365277203174444,0.0429,0.0151,0.02609999999999999,0.0458,22819.501926048
2025-09-01,27708.95,158813.16496892695,28039.575868756692,11976.14549714554,0,73.75,234029.75,2.027439538343165,69.39426485591707,1.0205434995931213,1.1701448258054366,138410029.79884452,3.3333752408558004,0.0429,0.0151,0.02609999999999999,0.0458,22918.978419847874
2025-12-01,27807.5,159893.92314970418,28230.39129020876,12057.64577593383,0,73.75,221584,2.0402377038349573,67.73700000000001,1.0173932991334242,1.1644156670690522,140094950.85763025,3.3017757009345794,0.0429,0.0151,0.02609999999999999,0.0458,23018.5831414875
2026-03-01,27906.050000000003,160982.0361253156,28422.505252167797,12139.700681871913,0,73.75,218260.24,2.0547613937358893,71.09862400156359,1.0587019566397695,1.16820274370124,141615609.79212105,3.2757270620113657,0.0431166666666667,0.0255759818181819,0.0299805555556667,0.04489966666666659,23118.316090966877
2026-06-01,28004.6,162077.5539467421,28615.92659148481,12222.313989318349,0,73.75,214936.48,2.069388472358607,74.62707729772079,1.1016878467231623,1.1720021371974343,143152774.700459,3.249883928140951,0.0431166666666667,0.0255759818181819,0.0299805555556667,0.04489966666666659,23218.177268286003
2026-09-01,28092.15,163180.52700557242,28810.6642051475,12305.48949831704,0,61.25,211612.72,2.0841196756887905,78.33063922415042,1.1464190691304197,1.1758138876162745,144706624.7465363,3.2242446780360647,0.0431166666666667,0.0255759818181819,0.0299805555556667,0.04489966666666659,23307.585749644502
2026-12-01,28179.700000000004,164291.00603632102,29006.727050689497,12389.231034772009,0,61.25,208288.96,2.0989557449513274,82.21799999999999,1.1929664886247178,1.179638035146685,146277341.0389775,3.1988077032002264,0.0431166666666667,0.0255759818181819,0.0299805555556667,0.04489966666666659,23397.099084385005
2027-03-01,28267.250000000004,165409.04211876175,29204.124146602408,12473.542450623389,0,61.25,208288.96,2.1103027090911284,80.60834338399455,1.1811955150890354,1.1858850170275583,147730387.82272053,3.1878230435715635,0.0435,0.0304926484848485,0.03050813492075,0.0441803333333333,23486.717272507503
2027-06-01,28354.800000000003,166534.6866802775,29402.86457275064,12558.427624024602,0,61.25,208288.96,2.121711014969791,79.03020048057577,1.16954068548472,1.1921650809060085,149197868.45480087,3.176876105106019,0.0435,0.0304926484848485,0.03050813492075,0.0441803333333333,23576.440314012
2027-09-01,28438.700000000004,167565.91048196438,29584.93435286443,12636.192501335236,0,56.25,208288.96,2.1331809942010307,77.48295431711041,1.1580008538222106,1.1984784019736048,150679926.31393212,3.165966758269662,0.0435,0.0304926484848485,0.03050813492075,0.0441803333333333,23661.982592310254
2027-12-01,28522.6,168603.5198754482,29768.13155390514,12714.43891792166,0,56.25,208288.96,2.1447129801912665,75.96600000000001,1.1465748854193991,1.204825156349676,152176706.2030795,3.155094873973378,0.0435,0.0304926484848485,0.03050813492075,0.0441803333333333,23747.617985765
