year,Fr10yUs_percent,Fr10yJp_percent,Fr10yDe_percent,Fr10yUk_percent
2025,4.29,1.51,2.61,4.58
2026,4.31166666666667,2.55759818181819,2.99805555556667,4.48996666666666
2027,4.35,3.04926484848485,3.050813492075,4.41803333333333
