variable,mean_abs_error,mean_abs_pct_error,max_abs_pct_error,max_abs_pct_error_quarter,rmse
R90d,0.033544770846646525,1962.7555640287103,46456.91393303745,2021-09-01,0.04094826538853631
R10y,0.01757106181749489,86.92716318853287,386.8196555240831,2020-09-01,0.02020417880382622
Rmort,0.02987320485761446,50.147732170061374,160.60845482874248,2022-06-01,0.03688128751652553
Peq,2660.567361129228,41.897436834389474,105.168952904003,2022-06-01,3203.4950657220375
Imin,7637.295332089286,25.05550812808513,57.67675044782125,2012-12-01,11205.712620489152
Inonmin,7904.663068373935,15.456095187170694,37.043548960892146,2021-12-01,10106.171497695683
Mtot,14544.657897057938,11.519673854363,38.73888995239398,2021-09-01,19381.112702749295
Xmin,9555.168338136862,11.383880645685087,22.102248954593744,2019-06-01,11224.130949600913
Tcit,3169.675632010411,10.210751294459122,31.232920586645506,2023-03-01,4681.634609638311
Lur,0.005191504788086565,9.895416091928343,38.182046455927626,2013-06-01,0.00687047314093105
Tprl,629.819724060378,9.004614919795035,30.620435785127697,2020-06-01,733.9165280528729
IvtNonfarm,17233.891765594028,8.904190504693009,24.753076783088837,2020-12-01,21993.730162414482
Whh,785650.0679261456,7.9127257926598356,16.75184291458647,2020-09-01,894952.5387427147
Idwell,2477.400278198481,7.506211855805914,17.117105209802855,2012-06-01,2923.4169498320316
Tpit,4531.995952019952,7.503097593250388,23.646123030331015,2024-06-01,6739.596166482236
PcpiRent,6.108767565440522,7.3052497355464805,15.955809879826004,2024-12-01,7.764030902130829
Xsvc,1404.0424656202988,6.12466821114938,12.850227015006274,2023-06-01,1591.309620876379
Ytsf,1858.4016918801044,5.601156013088738,13.913599304024455,2019-03-01,2213.7727657513265
Yhdi,15525.383798142968,4.898497349036018,9.398245639012417,2022-09-01,17405.701922061784
YgdpNom,21495.042691664632,4.420098189033429,8.732374162804811,2023-03-01,24639.078123336498
PhouseSa,23.974872787554784,4.274354221217881,11.514126318157134,2021-12-01,30.07246240719484
Xoth,627.3239110535845,3.1884210023561743,10.674772087435924,2019-06-01,814.9304996019238
Tgst,501.35229107047525,3.0822070494665783,14.052730125568269,2021-09-01,716.6560604243307
Ygdp,17178.345954576223,3.0182922627810633,6.718213971334323,2013-06-01,19315.296697588597
Cpr,7492.308201427599,2.5329935395783556,15.85828937487423,2020-06-01,11533.968940336743
Lhrs,87188.38037481895,2.1896177916581525,6.543478087608423,2023-06-01,104492.02672598696
Lwge,372.1875882125232,1.9739766439932445,5.002694561741263,2014-09-01,470.7641732149806
Ppcd,0.01059902042743657,1.217146376323152,2.9573611047713366,2020-09-01,0.01270105011280628
Pcpi,1.4176522580712294,1.2164230868268606,2.851094123290855,2023-03-01,1.698570901297493
LavhMkt,4.407017895181843,1.0479884359362401,4.90115083397154,2022-03-01,5.9130853517089035
Lemp,116.06448679555679,0.9059003966890702,2.3889870821354844,2024-12-01,149.473058238967
Lpar,0.0034228692435426737,0.5189457849464729,2.0836821899095916,2024-09-01,0.004728638483028498
Cgov,0,0,0,2010-03-01,0
