variable,first_quarter_diff,first_year_max_abs_diff,mean_abs_diff,horizon_diff,horizon_pct_diff
Lhrs,71457.9453062471,147465.78790014982,45858.48999053718,-16667.411783006974,-0.3670264043107926
Yhdi,-932.6589526174939,1539.9246249487624,12196.151810605945,11189.322555043618,1.3253191776206799
YgdpNom,3526.872088449425,7225.211529646884,4511.426286744023,4296.306905422127,0.32184914340588267
Mtot,1099.5494146944839,2507.5683392923966,3548.1601482911615,3959.9006072062766,1.7174534586005832
Cpr,3021.1789863016456,4113.093332444201,2727.8768274152126,6344.991265543795,1.312062847657633
Ygdp,2506.2243594193133,3031.6806056436617,2430.529469322188,5546.514236357412,0.6400910395647633
Inonmin,270.1819306335674,904.2136205180432,1585.0834433303016,3200.488656137022,3.3983731524501017
Idwell,0,48.97408630461723,150.51928954425404,35.65997449826682,0.07913669100044501
Lemp,121.11806851601978,252.57702865956162,86.83908383338827,-37.22454477507199,-0.2224615308198122
PhouseSa,-0.809369925108399,12.485663547874879,13.584617612594695,-28.108157712967113,-1.8406641090233873
PcpiRent,-0.3248000493499319,2.2856905945918697,10.055253518035398,-16.080688927726897,-10.328586116335412
Pcpi,-0.13150691043591678,0.2883278085795098,1.6036990647409608,-3.562451817201776,-1.6880537537972604
YgdpAnnualGrowth,0.3688232940387559,0.44269614668390744,0.2107307357854138,0.19648191056880204,12.476319012723414
PcpiAnnualGrowth,-0.09333350634201931,0.20092530214601556,0.16991909283202106,-0.08958385637469757,-2.5936684027712777
Ppcd,0.0020289384398068933,0.006671976900739063,0.010689311606131745,-0.023419156345825254,-1.5807197236205828
R90d,0.006754643524053763,0.009495609435039316,0.008383639133577613,-0.005021644541490577,-31.09691209958773
Rmort,0.004337834621861589,0.008495930593693149,0.007891161515600164,-0.005319841568631703,-6.318861401527958
R10y,4.1050134425051066e-4,0.00189688068981924,0.004015828392302785,-0.006130917628839851,-33.52920711662066
Lur,-0.0075522509351513,0.011930977249822228,0.003724053471911019,0.001362825133624443,2.477867820424567
Lpar,2.0379703299089336e-4,0.002941059219107367,0.0011518424201872324,-5.201373096315187e-4,-0.0781345222390667
