date,Ygdp_on,YgdpAnnualGrowth_on,YgdpNom_on,Pcpi_on,PcpiAnnualGrowth_on,Ppcd_on,PcpiRent_on,Lur_on,Lemp_on,Lhrs_on,Lpar_on,R90d_on,R10y_on,Rmort_on,PhouseSa_on,Cpr_on,Idwell_on,Inonmin_on,Yhdi_on,Mtot_on,Ygdp_off,YgdpAnnualGrowth_off,YgdpNom_off,Pcpi_off,PcpiAnnualGrowth_off,Ppcd_off,PcpiRent_off,Lur_off,Lemp_off,Lhrs_off,Lpar_off,R90d_off,R10y_off,Rmort_off,PhouseSa_off,Cpr_off,Idwell_off,Inonmin_off,Yhdi_off,Mtot_off,Ygdp_diff,YgdpAnnualGrowth_diff,YgdpNom_diff,Pcpi_diff,PcpiAnnualGrowth_diff,Ppcd_diff,PcpiRent_diff,Lur_diff,Lemp_diff,Lhrs_diff,Lpar_diff,R90d_diff,R10y_diff,Rmort_diff,PhouseSa_diff,Cpr_diff,Idwell_diff,Inonmin_diff,Yhdi_diff,Mtot_diff
2025-03-01,682056.331589137,1.7405340771518896,703719.5282687362,140.0318627545322,1.8413547305688782,1.038784808884516,96.85820969031543,0.03926872946789886,14584.999574710964,4333739.7600405505,0.6699517562487673,0.04377826481883725,0.043643923705813076,0.08835011203732825,786.2421308034078,350569.7860200052,35109.73723576575,61456.82865682738,430976.6126884228,155775.3180368274,679701.1960315382,1.389224752164142,701030.0669557375,140.93118332666396,2.4954060557556,1.0384751483777808,97.88155803429923,0.046074018918716056,14478.187232576456,4270825.3658776535,0.6697898223673119,0.030606697314886785,0.04284826348982585,0.07989495787845875,791.0927687145214,347864.5773761275,35109.73723576575,61228.479688623236,433023.76428136346,154902.6862714658,2355.1355575987836,0.3513093249877475,2689.4613129986683,-0.8993205721317565,-0.6540513251867219,3.0966050673519874e-4,-1.0233483439837983,-0.006805289450817195,106.81234213450807,62914.39416289702,1.6193388145546717e-4,0.013171567503950467,7.956602159872248e-4,0.008455154158869493,-4.850637911113608,2705.208643877704,0,228.34896820414724,-2047.1515929406742,872.6317653616134
2025-06-01,687310.1329408272,2.266727712465144,715281.9979488526,140.5997066762543,1.2236909116301709,1.0459108799540102,96.95521494271836,0.03907406742591126,14687.257768692287,4343514.230942476,0.6697992315620616,0.038609097885375344,0.04323596456972245,0.0858108186426458,788.8571209024988,353180.5729887447,34985.53214046218,62325.035344099,438602.1857797034,157724.66168978487,684847.5843208912,1.9003184641158466,712090.623476261,142.44748434656046,2.55398441077066,1.0470189183670884,99.61285821510859,0.04864382462846899,14513.859144738959,4248715.23218825,0.6685495524040429,0.02327776879883795,0.041568695934526355,0.07258905572756898,808.4144989768448,349928.5903297884,35022.02901574672,61850.724764532446,442230.34467537183,156052.30529287117,2462.5486199359875,0.36640924834929756,3191.3744725915603,-1.847777670306158,-1.3302934991404891,-0.0011080384130781606,-2.6576432723902315,-0.009569757202557726,173.39862395332784,94798.99875422567,0.0012496791580186573,0.015331329086537393,0.0016672686351960966,0.013221762915076818,-19.557378074346047,3251.9826589563163,-36.496875284537964,474.3105795665542,-3628.1588956684573,1672.356396913703
2025-09-01,691271.5207542465,2.5427618937365892,725484.1185690728,141.32971999530156,1.6029618945374358,1.0531819465857317,97.07891502750729,0.0385981525179423,14752.857361250193,4348345.439141468,0.6695390907101886,0.037274441727696166,0.04277533503833305,0.08448414498906107,796.8625072303214,355998.9312937004,34862.05612890029,63243.226765297826,448549.84740195883,159617.81221215223,689718.1996790685,2.3123432689642343,723244.9102970677,144.03407630766267,3.547143283725873,1.0562224538877811,101.48840586861641,0.04873617117867773,14556.298935366016,4243136.008510431,0.6676590324669632,0.026528523652649995,0.04057317200683099,0.07352903652391166,829.1355261668024,353241.07054682745,35018.00425505866,62629.86430071517,452841.0669949193,157771.5794329262,1553.3210751779843,0.23041862477235497,2239.208272005082,-2.7043563123611136,-1.9441813891884374,-0.003040507302049411,-4.409490841109118,-0.01013801866073543,196.55842588417727,105209.43063103687,0.0018800582432253465,0.01074591807504617,0.002202163031502058,0.01095510846514941,-32.27301893648098,2757.8607468729606,-155.94812615837145,613.3624645826567,-4291.219592960493,1846.232779226033
2025-12-01,695751.3543958508,2.7580842940833517,736497.3193971872,142.19617958244118,1.8597274945853837,1.0605884773695147,97.30476931183065,0.03863928667242004,14813.140278093546,4351622.628414557,0.6693945619742828,0.03683624619089132,0.04231979686452859,0.084637692928881,805.7516450682468,358795.83887217415,34747.52328685285,64201.72969446774,455837.34114879946,161375.0616771291,695477.3632426666,2.717617529862415,736074.8534146152,145.68395865618106,4.3581365731956145,1.0660166846690715,103.47736915361529,0.04800467666703055,14623.281398820249,4251103.328636999,0.6673158449526934,0.034932749886752434,0.04015353731703502,0.08040407063884082,843.7823776588598,356873.95482267614,35116.578710632624,63499.07873350475,459288.16640260373,159571.4335145839,273.9911531842081,0.040466764220936646,422.46598257205915,-3.487779073739887,-2.498409078610231,-0.005428207299556842,-6.172599841784631,-0.009365389994610514,189.85887927329713,100519.29977755807,0.00207871702158946,0.0019034963041388853,0.002166259547493568,0.004233622290040179,-38.030732590612956,1921.8840494980104,-369.0554237797769,702.6509609629866,-3450.8252538042725,1803.628162545181
2026-03-01,700726.5590775685,2.7373439148246526,749596.6542293958,143.22012563752256,2.276812448449106,1.0684253521779266,97.68838536190796,0.03861159948736651,14877.197330345869,4358240.888905579,0.669369702640581,0.0386649324962653,0.042005937646567654,0.08644013893670834,816.0769089453603,361791.14731545746,34697.69803966311,65140.03882251874,463627.01656806725,163146.99753161496,702070.7595599182,3.291087857279873,751928.5792378943,147.44028407115934,4.618637686031457,1.0766838479465035,105.56822361268893,0.04630545538149037,14716.131839314243,4272797.712784734,0.6674645086685289,0.044365974831279104,0.04033249197998952,0.0892805764063802,851.8491407447713,360728.0069543869,35275.250421269804,64451.81328414615,465457.4537163245,161279.1337612335,-1344.2004823497264,-0.5537439424552204,-2331.9250084984815,-4.220158433636783,-2.341825237582351,-0.008258495768576957,-7.8798382507809634,-0.007693855894123858,161.06549103162615,85443.1761208456,0.0019051939720521327,-0.005701042335013805,0.0016734456665781355,-0.002840437469671858,-35.772231799410974,1063.1403610705747,-577.5523816066925,688.2255383725933,-1830.437148257275,1867.8637703814602
2026-06-01,705495.0099773568,2.6458037158161973,762897.057923683,144.37233119821784,2.683237832530061,1.0766085888797183,98.23658360563904,0.03863235218507994,14942.634878670247,4366205.881840358,0.6694367686329581,0.041915405547752145,0.04190993621278231,0.08971236033485452,826.0357018290595,364559.9176727487,34697.22611927113,66059.65477373029,471056.54047856596,164984.94386133456,708272.1453162549,3.4204049969150496,768060.0101385682,149.2746917694609,4.792789043778778,1.0880111828694412,107.73364128781913,0.0443547253402642,14820.724482106702,4300920.677885833,0.6679509912031414,0.05343608746471244,0.04104708691965334,0.09825273557799567,856.0109590280982,364162.6800899913,35367.396556827705,65359.042769609296,470732.36875291157,162866.62762105727,-2777.135338898166,-0.7746012810988523,-5162.95221488527,-4.902360571243065,-2.109551211248717,-0.011402593989722876,-9.497057682180085,-0.005722373155184264,121.91039656354587,65285.20395452436,0.0014857774298167037,-0.011520681916960297,8.628492931289644e-4,-0.008540375243141149,-29.975257199038765,397.23758275737055,-670.170437556575,700.6120041209942,324.1717256543925,2118.316240277287
2026-09-01,710301.8617271939,2.752947344363821,776481.4470600398,145.63906174873628,3.0491405159353446,1.0851436885327708,98.9081801591002,0.038406385263180125,15006.300351515278,4375355.357504058,0.6695527164422868,0.04640191113821999,0.04209153080801299,0.0941415985389917,835.6812449440494,367439.62427703687,34722.9326936955,66996.34075877124,480697.3524314844,166933.98114039403,714301.759043532,3.5642903690090266,784362.4269240451,151.18179322044907,4.962517965206081,1.0999471802528484,109.91065161128805,0.04203151513048151,14925.619099052961,4331854.727316927,0.6684729628113782,0.06256994634751892,0.042264471649981344,0.10724094655187279,860.1809742680107,367560.1518511122,35334.19128269036,66211.45223300956,477968.6088991678,164346.5577370949,-3999.8973163380288,-0.8113430246452058,-7880.979864005232,-5.542731471712784,-1.9133774492707367,-0.014803491720077666,-11.002471452187848,-0.003625129867301388,80.68125246231648,43500.63018713053,0.0010797536309085087,-0.01616803520929893,-1.7294084196835258e-4,-0.013099348012881082,-24.499729323961333,-120.52757407532772,-611.2585889948605,784.8885257616785,2728.7435323165846,2587.4234032991226
2026-12-01,714904.1047641685,2.752815391203778,790183.5488018091,147.00426303633796,3.381302836697664,1.0940030845262916,99.71388234130026,0.03828937977245375,15069.537219360664,4384278.403568501,0.6697203452061433,0.051166793547430645,0.042548517009085754,0.09907879096080727,844.9750601590533,370255.31438240805,34742.16163257126,67924.49274654551,486516.44249236863,168894.2101823275,719819.7475065346,3.500097278561509,800476.2337039609,153.14127559214012,5.118831891134001,1.1123386633553989,112.09585587909497,0.04009457532630954,15026.565891849967,4361220.305233872,0.6690664987856516,0.07067742460305082,0.04388819481269205,0.11564532802559832,866.5223220583119,370645.51208833756,35200.92705420504,66972.50470817051,481095.2028424782,165619.93557316027,-4915.642742366064,-0.7472818873577314,-10292.684902151814,-6.137012555802158,-1.7375290544363375,-0.018335578829107302,-12.381973537794707,-0.0018051955538557901,42.97132751069694,23058.09833462909,6.538464204917105e-4,-0.019510631055620176,-0.001339677803606297,-0.016566537064791054,-21.547261899258615,-390.1977059295168,-458.76542163378326,951.9880383749987,5421.239649890456,3274.274609167216
2027-03-01,719216.0981012937,2.63862398023913,802379.6236852957,148.43961866706044,3.644385177225695,1.1030584751053114,100.66364263236153,0.03850484424834568,15127.53580728831,4390067.387011638,0.6698827162264831,0.055322058149240794,0.04322519998520355,0.10371854664027783,854.6985043220722,372799.67267919617,34745.45338336368,68800.20397278784,492012.9303860748,170774.08379287613,724796.7881111288,3.236999724280798,814646.358518096,155.12269606583973,5.210524412020678,1.1249639102236864,114.30037348377923,0.03884534639254553,15116.355117653286,4384599.733867574,0.6696247503591698,0.07696464086238423,0.04578045743170864,0.12267172104555485,876.8533529952646,373227.6355916905,35034.660910810766,67594.36701258284,484200.7522589166,166658.16709928223,-5580.690009835176,-0.5983757440416682,-12266.734832800343,-6.6830773987792895,-1.5661392347949832,-0.02190543511837495,-13.636730851417695,-3.40502144199846e-4,11.180689635024464,5467.653144064359,2.579658673133034e-4,-0.02164258271314344,-0.002555257446505088,-0.018953174405277023,-22.15484867319242,-427.9629124943167,-289.20752744708443,1205.836960205008,7812.1781271582,4115.916693593899
2027-06-01,723406.532859782,2.5388589046150933,814530.9954743381,149.94802586215462,3.8620244043033214,1.1123905809767227,101.75594649938243,0.03888344476480262,15181.395457164519,4393806.273413716,0.6699731602870169,0.058879073688743566,0.04407038778440565,0.1078408093481521,865.926605066797,375029.7247997798,34731.31405613103,69583.66155318447,497672.93533198786,172422.63334725559,729477.3279964046,2.9939314739931167,828547.1612032459,157.12682758256634,5.260192280438414,1.137817744016647,116.52339451219385,0.03807343006245182,15196.15867577796,4402717.187027559,0.6700599639000246,0.08164953667185701,0.047826067583956404,0.12824180030459514,892.1861544068308,375319.3895819137,34892.802863228564,68063.07839865123,488014.22939940373,167403.7641195361,-6070.795136622619,-0.4550725693780233,-14016.1657289078,-7.1788017204117125,-1.3981678761350924,-0.025427163039924316,-14.767448012811414,8.100147023508003e-4,-14.763218613441495,-8910.9136138428,-8.680361300772432e-5,-0.022770462983113443,-0.003755679799550757,-0.020400990956443044,-26.2595493400338,-289.6647821338847,-161.48880709753576,1520.5831545332476,9658.705932584126,5018.869227719493
